,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hokitika,0,NZ,1599539044,69,-42.72,170.97,53.55,6.98
1,Busselton,85,AU,1599539045,71,-33.65,115.33,63,7
2,Kavieng,5,PG,1599539046,74,-2.57,150.8,84.81,11.01
3,Cidreira,100,BR,1599538501,92,-30.18,-50.21,58.55,17.34
4,Camacha,40,PT,1599538457,83,33.08,-16.33,71.6,13.87
5,Hasaki,20,JP,1599539047,55,35.73,140.83,93,14.99
6,Charagua,100,BO,1599539047,63,-19.8,-63.22,58.5,5.3
7,Castro,37,BR,1599539049,73,-24.79,-50.01,61.16,1.95
8,Rio Grande,41,BR,1599538909,78,-32.03,-52.1,59,3
9,Ushuaia,20,AR,1599539049,84,-54.8,-68.3,39.2,10.29
10,Broome,1,US,1599538513,77,42.25,-75.83,66,5.82
11,Kroya,79,ID,1599539050,67,-7.63,109.25,84.09,11.56
12,Atuona,60,PF,1599539051,76,-9.8,-139.03,78.51,23.15
13,Straumen,75,NO,1599539052,87,63.87,11.3,55,17.22
14,Longyearbyen,20,SJ,1599539052,84,78.22,15.64,33.8,8.05
15,Martinópolis,15,BR,1599539053,33,-22.15,-51.17,75.2,2.24
16,Santa Cruz Cabrália,75,BR,1599539053,78,-16.28,-39.02,71.6,4.7
17,Great Yarmouth,80,GB,1599539055,99,52.61,1.73,59,4
18,São Filipe,100,CV,1599539056,85,14.9,-24.5,78.08,8.7
19,Punta Arenas,50,CL,1599539056,93,-53.15,-70.92,35.6,6.93
20,George Town,20,MY,1599538968,66,5.41,100.34,87.8,11.41
21,Saint Paul Harbor,1,US,1599538897,62,57.79,-152.41,57.2,11.41
22,Semirara,83,PH,1599539060,73,12.07,121.4,85.17,9.42
23,Jamestown,1,US,1599539061,100,42.1,-79.24,63,4.61
24,Saint-Philippe,39,RE,1599539062,78,-21.36,55.77,73.4,3.36
25,Shingū,40,JP,1599539064,70,33.73,135.98,84.2,8.05
26,Mataura,23,NZ,1599539067,45,-46.19,168.86,59.88,8.5
27,Mar del Plata,0,AR,1599539067,93,-38,-57.56,46.99,6.93
28,Belaya Gora,100,RU,1599538472,68,68.53,146.42,47.77,10.6
29,Port Alfred,1,ZA,1599538902,87,-33.59,26.89,61.93,16.02
30,Rikitea,0,PF,1599539070,85,-23.12,-134.97,72.72,10.89
31,Stykkisholmur,97,IS,1599539072,78,65.08,-22.73,42.1,12.86
32,Morondava,1,MG,1599539073,58,-20.28,44.28,68.77,7.85
33,Katobu,93,ID,1599539074,84,-4.94,122.53,80.67,6.17
34,Husavik,90,IS,1599538638,80,66.04,-17.34,41,11.41
35,Poya,40,NC,1599539074,69,-21.35,165.15,73.45,13.98
36,Narsaq,22,GL,1599539075,69,60.92,-46.05,39.2,2.24
37,Mount Gambier,40,AU,1599539075,51,-37.83,140.77,62.6,17.22
38,Hilo,1,US,1599538800,69,19.73,-155.09,80.6,8.05
39,Bluff,45,NZ,1599539077,68,-46.6,168.33,54.9,9.44
40,Itupiranga,13,BR,1599539077,55,-5.13,-49.33,77.54,1.41
41,Clyde River,90,CA,1599539078,91,70.47,-68.59,35.6,3.36
42,Bethel,1,US,1599538877,93,41.37,-73.41,64,2.8
43,Tuktoyaktuk,90,CA,1599539080,100,69.45,-133.04,41,21.92
44,São Félix do Xingu,0,BR,1599539080,37,-6.64,-51.99,73.11,1.72
45,Albany,96,US,1599538808,70,42.6,-73.97,69.01,6.73
46,Fortuna,20,US,1599539082,100,40.6,-124.16,55.99,6.93
47,Caravelas,8,BR,1599539083,89,-17.71,-39.25,68.88,4.65
48,Chapais,40,CA,1599539084,70,49.78,-74.85,46.4,13.87
49,Bredasdorp,0,ZA,1599539084,93,-34.53,20.04,51.8,3.36
50,Deputatsky,99,RU,1599539085,71,69.3,139.9,44.01,6.49
51,Esperance,90,AU,1599538506,59,-33.87,121.9,60.8,12.75
52,Kushnarenkovo,32,RU,1599539085,87,55.1,55.35,50,2.24
53,Mehamn,68,NO,1599539086,76,71.04,27.85,50,10.29
54,Fallon,1,US,1599539086,13,39.47,-118.78,80.6,8.05
55,Sitka,90,US,1599539086,93,57.05,-135.33,57.2,3.36
56,Mahon,91,ES,1599539087,77,39.89,4.27,66.2,4.7
57,Provideniya,40,RU,1599538574,53,64.38,-173.3,50,11.18
58,Ialibu,32,PG,1599539088,69,-6.28,143.99,70.65,4.23
59,Geraldton,0,AU,1599539089,45,-28.77,114.6,68,12.75
60,Hermanus,0,ZA,1599539090,92,-34.42,19.23,51.01,1.99
61,Severo-Kuril'sk,96,RU,1599539090,91,50.68,156.12,53.22,13.18
62,Carnarvon,99,AU,1599539092,64,-24.87,113.63,69.8,12.75
63,Yefremov,95,RU,1599539094,45,53.15,38.1,59.32,10.22
64,East London,1,ZA,1599539095,87,-33.02,27.91,57.2,5.82
65,Tyrma,100,RU,1599539095,92,50.08,132.17,57.96,10.96
66,Katangli,100,RU,1599538562,79,51.71,143.23,58.35,5.66
67,Puerto Colombia,75,CO,1599539095,100,10.99,-74.95,77,3.36
68,Lebu,100,CL,1599539096,90,-37.62,-73.65,48.31,11.81
69,Qaanaaq,100,GL,1599539096,80,77.48,-69.36,21.36,9.98
70,Ribeira Grande,2,PT,1599539097,80,38.52,-28.7,70.41,14.43
71,Havre-St-Pierre,90,CA,1599538729,87,50.23,-63.6,57.2,13.87
72,Khatanga,0,RU,1599539098,66,71.97,102.5,54.73,10.69
73,Moranbah,91,AU,1599539099,49,-22,148.05,76.32,20.76
74,Bhan,0,PK,1599539099,44,26.56,67.72,93.78,4.94
75,Namatanai,33,PG,1599538593,75,-3.67,152.43,83.59,8.99
76,Gornopravdinsk,98,RU,1599539100,73,60.05,69.9,49.91,1.83
77,Margate,79,GB,1599538655,84,51.38,1.39,62.01,1.01
78,Kahului,20,US,1599539103,69,20.89,-156.47,80.6,12.75
79,Souillac,75,MU,1599539103,100,-20.52,57.52,71.6,10.29
80,Eydhafushi,85,MV,1599539104,79,5.1,73.07,82.8,15.68
81,Bubaque,100,GW,1599539104,81,11.28,-15.83,80.19,10.56
82,Urengoy,93,RU,1599538591,57,65.97,78.37,53.74,6.49
83,Nikolskoye,40,RU,1599539106,87,59.7,30.79,52,3.53
84,Suksun,34,RU,1599539106,81,57.14,57.39,55.85,4.38
85,Tiksi,47,RU,1599539107,58,71.69,128.87,49.59,12.82
86,Coahuayana Viejo,100,MX,1599539108,81,18.73,-103.68,77.94,2.28
87,Nyimba,0,ZM,1599539110,80,-14.56,30.81,55.81,3.87
88,Hong Kong,40,HK,1599538502,94,22.29,114.16,78.8,10.29
89,Mamakan,34,RU,1599539111,55,57.82,114,72,1.48
90,Araouane,0,ML,1599539113,43,18.9,-3.53,89.37,13.56
91,Poço Verde,55,BR,1599539113,95,-10.71,-38.18,67.71,2.77
92,Dikson,99,RU,1599539116,82,73.51,80.55,42.78,26.06
93,Hithadhoo,94,MV,1599539117,77,-0.6,73.08,82.6,11.34
94,Ofakim,43,IL,1599539117,83,31.31,34.62,79,2.44
95,Butaritari,29,KI,1599539118,75,3.07,172.79,82,5.19
96,Tura,89,IN,1599539119,91,25.52,90.22,80.2,3.38
97,Namie,20,JP,1599539120,61,37.48,141,95,1.99
98,Buchanan,65,LR,1599539120,89,5.88,-10.05,75.74,5.97
99,Hobart,40,AU,1599538824,45,-42.88,147.33,62.6,16.11
100,Makassar,20,ID,1599539121,43,-5.14,119.42,91.4,6.93
101,Warrnambool,47,AU,1599539123,69,-38.38,142.48,60.01,8.01
102,Avarua,35,CK,1599539125,73,-21.21,-159.78,73.4,12.75
103,Coracora,100,PE,1599539125,44,-15.03,-73.78,50.23,1.12
104,Nome,90,US,1599539126,93,64.5,-165.41,53.01,6.93
105,Kutum,100,SD,1599539126,51,14.2,24.67,74.53,8.97
106,Kavaratti,90,IN,1599539126,94,10.57,72.64,78.8,9.17
107,Iqaluit,75,CA,1599539127,93,63.75,-68.51,35.6,5.82
108,Talara,63,PE,1599538556,86,-4.58,-81.27,62.11,13.27
109,Truro,34,GB,1599539132,93,50.27,-5.05,59,12.75
110,Vaini,75,TO,1599539133,78,-21.2,-175.2,75.2,10.29
111,Guerrero Negro,0,MX,1599538910,70,27.98,-114.06,76.95,12.1
112,Sungai Penuh,61,ID,1599539136,62,-2.08,101.38,79.12,2.28
113,San Luis,2,AR,1599538921,65,-33.3,-66.34,51.98,9.64
114,San Miguel de Tucumán,76,AR,1599538997,67,-26.82,-65.22,59,6.93
115,Nago,90,JP,1599539137,74,26.59,127.98,84.2,2.35
116,Inuvik,75,CA,1599538858,87,68.35,-133.72,46.4,6.93
117,Sabha,0,LY,1599539140,26,27.04,14.43,78.94,9.46
118,San Bartolomé de Tirajana,54,ES,1599539141,37,27.92,-15.57,84,16.11
119,Kapaa,75,US,1599539141,74,22.08,-159.32,82.4,11.41
120,Cherskiy,22,RU,1599539142,64,68.75,161.3,46.2,15.79
121,Paamiut,43,GL,1599539142,83,61.99,-49.67,40.66,15.05
122,Pacific Grove,1,US,1599538626,47,36.62,-121.92,75.2,2.75
123,Tuatapere,13,NZ,1599539143,55,-46.13,167.68,58.32,7.25
124,Kiruna,100,SE,1599538972,81,67.86,20.23,46.4,13.87
125,Saskylakh,5,RU,1599539143,52,71.92,114.08,54.61,11.45
126,Kushiro,75,JP,1599539144,83,42.98,144.37,80.6,10.29
127,Comodoro Rivadavia,100,AR,1599539144,47,-45.87,-67.5,55.4,8.05
128,Quesnel,1,CA,1599539145,81,53,-122.5,48.2,1.66
129,Porbandar,40,IN,1599539148,79,21.64,69.61,86,11.41
130,Yellowknife,75,CA,1599539148,71,62.46,-114.35,51.01,18.34
131,Sumbe,0,AO,1599539149,86,-11.21,13.84,70.66,3.33
132,Matagami,20,CA,1599539149,81,49.75,-77.63,44.6,11.83
133,Ürümqi,0,CN,1599539051,55,43.8,87.6,66.2,6.71
134,Katsuura,40,JP,1599539150,74,35.13,140.3,91.99,19.46
135,Port Lincoln,100,AU,1599539150,60,-34.73,135.87,61.07,11.61
136,Hambantota,75,LK,1599538645,79,6.12,81.12,84.2,5.82
137,Tasiilaq,12,GL,1599539153,82,65.61,-37.64,32,7.87
138,Barrow,90,US,1599539153,83,71.29,-156.79,35.6,14.99
139,Cape Town,0,ZA,1599538911,93,-33.93,18.42,52,2.24
140,Bawku,18,GH,1599538944,94,11.06,-0.24,71.55,5.14
141,Kenora,75,CA,1599539155,86,49.82,-94.43,41,5.82
142,Cockburn Town,84,TC,1599539157,77,21.46,-71.14,83.08,12.53
143,Bukama,0,CD,1599539158,30,-9.2,25.85,67.68,3.98
144,Liverpool,75,GB,1599538435,93,53.41,-2.98,64,4.7
145,Airai,94,TL,1599539159,45,-8.93,125.41,78.4,6.35
146,Saint George,1,US,1599539025,11,37.1,-113.58,90,3.36
147,Kaitangata,1,NZ,1599539162,46,-46.28,169.85,62.01,4.76
148,Upernavik,100,GL,1599539163,78,72.79,-56.15,37.06,5.84
149,Yar-Sale,100,RU,1599538674,65,66.83,70.83,51.62,13.73
150,Noumea,90,NC,1599539164,64,-22.28,166.46,71.6,23.04
151,Omsukchan,100,RU,1599539164,88,62.53,155.8,42.24,8.39
152,Puerto Ayora,43,EC,1599539165,90,-0.74,-90.35,66.99,4
153,Władysławowo,79,PL,1599539166,81,54.79,18.4,54,10.29
154,Yārāda,75,IN,1599539166,70,17.65,83.27,89.6,5.82
155,Concordia,6,AR,1599539166,89,-31.39,-58.02,51.73,8.3
156,Kiunga,85,PG,1599538722,65,-6.12,141.29,88.27,3.24
157,Phalaborwa,0,ZA,1599539167,87,-23.94,31.14,57.2,8.05
158,Nara,40,JP,1599538650,52,34.69,135.8,93.99,11.41
159,Maţāy,1,EG,1599539169,92,28.42,30.78,73.04,11.65
160,Oltu,61,TR,1599539169,74,40.55,42,61.86,1.21
161,Bumba,97,CD,1599539171,96,2.18,22.47,71.29,0.43
162,Ahipara,26,NZ,1599539171,64,-35.17,173.17,58.26,6.29
163,San Andrés,75,CO,1599539172,94,12.58,-81.7,78.8,2.24
164,Mata de Plátano,75,HN,1599539174,100,14.6,-87.28,68,1.57
165,Bondo,39,CD,1599539174,97,3.81,23.69,67.48,1.25
166,Alice Springs,0,AU,1599539084,11,-23.7,133.88,91.4,9.17
167,Vanimo,1,PG,1599539182,64,-2.67,141.3,87.26,9.19
168,Robertsport,97,LR,1599539184,88,6.75,-11.37,76.08,6.78
169,Kuching,75,MY,1599539126,70,1.55,110.33,87.8,3.36
170,Klaksvík,62,FO,1599539185,87,62.23,-6.59,51.8,29.97
171,Balabac,100,PH,1599539185,65,7.99,117.06,86.95,7.96
172,Luang Prabang,75,LA,1599538896,74,19.89,102.13,82.4,2.24
173,Vila Franca do Campo,40,PT,1599539186,88,37.72,-25.43,69.8,5.82
174,Sibolga,14,ID,1599538626,73,1.74,98.78,83.26,4.07
175,Mahébourg,75,MU,1599539187,100,-20.41,57.7,71.6,10.29
176,Torbay,20,CA,1599539188,76,47.67,-52.73,52,4.7
177,Kichera,95,RU,1599539189,49,55.94,110.1,69.87,2.82
178,Westport,1,US,1599538970,83,41.14,-73.36,71.6,4.7
179,Northam,99,GB,1599539189,99,51.03,-4.22,61,11.99
180,Hofn,0,IS,1599539190,59,64.25,-15.21,44.94,10.51
181,Pimentel,16,PE,1599539190,90,-6.84,-79.93,59.88,9.17
182,Lapa,90,BR,1599539191,100,-25.77,-49.72,59,3.36
183,New Norfolk,20,AU,1599539192,51,-42.78,147.06,62.6,14.99
184,Harper,52,LR,1599539194,90,4.38,-7.72,76.37,10.13
185,Jilavele,0,RO,1599539196,93,44.77,26.53,69.01,9.17
186,Yeppoon,36,AU,1599539199,42,-23.13,150.73,80.6,13.87
187,Aketi,61,CD,1599539203,97,2.74,23.78,68.94,0.54
188,Rocha,34,UY,1599539073,90,-34.48,-54.33,44.67,3.36
189,Sterling,1,US,1599539207,88,39.01,-77.43,66.99,5.21
190,Bantogon,72,PH,1599539208,77,6.53,124.03,82.02,5.12
191,Port Hardy,75,CA,1599538509,87,50.7,-127.42,60.8,5.82
192,Yangi Marg`ilon,0,UZ,1599539212,19,40.43,71.72,73.4,2.24
193,Sambava,66,MG,1599538711,77,-14.27,50.17,71.08,10.27
194,Akureyri,90,IS,1599539215,80,65.68,-18.09,41,11.41
195,Pochutla,88,MX,1599539216,89,15.74,-96.47,77,3.94
196,Bristol,20,US,1599539217,93,41.83,-71.17,66.99,2.8
197,Nanortalik,0,GL,1599539219,81,60.14,-45.24,41.02,21.59
198,Labuhan,9,ID,1599539221,53,-6.88,112.21,88.14,5.46
199,Port Elizabeth,2,ZA,1599539222,100,-33.92,25.57,55.4,6.93
200,Maceió,20,BR,1599539223,94,-9.67,-35.74,68,3.36
201,Bud,1,US,1599539224,78,39.45,-86.18,75,4.7
202,Arrondissement d'Arcachon,3,FR,1599539230,93,44.59,-1.05,55.4,3.36
203,Muros,32,ES,1599539231,74,42.78,-9.06,62.01,3
204,Birnin Kebbi,97,NG,1599539233,89,12.45,4.2,73.81,2.89
205,Sri Aman,40,MY,1599539234,83,1.24,111.46,82.4,3.36
206,Tonj,99,SS,1599539236,93,7.27,28.68,69.22,2.13
207,San Quintín,2,MX,1599539236,75,30.48,-115.95,73.94,7.18
208,Port Hawkesbury,40,CA,1599539237,93,45.62,-61.35,62.01,9.17
209,Grand Gaube,48,MU,1599539237,82,-20.01,57.66,75,11.01
210,Bengkulu,46,ID,1599539239,58,-3.8,102.27,86.63,11.14
211,Ngunguru,5,NZ,1599539240,34,-35.62,174.5,59,7
212,Bandarbeyla,90,SO,1599539240,73,9.49,50.81,76.6,25.19
213,Kieta,19,PG,1599539243,73,-6.22,155.63,83.26,4.61
214,Santa Lucía,53,ES,1599539243,37,27.91,-15.54,84,16.11
215,Kassala,80,SD,1599539244,78,15.45,36.4,76.44,18.95
216,Constitución,99,CL,1599539244,84,-35.33,-72.42,48.85,5.5
217,Nichinan,40,JP,1599539245,78,31.6,131.37,80.6,17.22
218,Ilebo,16,CD,1599539245,85,-4.32,20.58,72.19,1.66
219,Baoding,0,CN,1599539246,32,38.85,115.49,86.47,5.01
220,Inta,100,RU,1599539247,78,66.03,60.17,58.78,11.43
221,Kemijärvi,70,FI,1599539248,95,66.71,27.43,43.72,6.62
222,Codrington,23,AU,1599539249,65,-38.27,141.97,59.74,17.92
223,Berlin,83,DE,1599539208,81,52.52,13.41,55.99,1.12
224,Aquiraz,40,BR,1599539245,83,-3.9,-38.39,78.8,13.87
225,Dibulla,54,CO,1599539251,81,11.27,-73.31,78.58,3.27
226,Yulara,0,AU,1599539253,8,-25.24,130.99,95,12.75
227,Wajima,20,JP,1599539254,52,37.4,136.9,87.8,19.46
228,Damietta,20,EG,1599539167,78,31.42,31.81,82.4,5.82
229,Marsabit,100,KE,1599539255,89,2.33,37.99,59.65,14.79
230,High Level,90,CA,1599539255,71,58.52,-117.14,53.6,9.17
231,Salinópolis,88,BR,1599539255,83,-0.61,-47.36,79.68,10.76
232,Puerto Baquerizo Moreno,10,EC,1599539256,86,-0.9,-89.6,65.82,9.69
233,Vostok,74,RU,1599538669,72,46.49,135.88,69.4,13.44
234,Angoche,0,MZ,1599539257,80,-16.23,39.91,69.37,8.55
235,Cabo Frio,20,BR,1599539258,94,-22.88,-42.02,71.6,6.93
236,Thompson,75,CA,1599539027,81,55.74,-97.86,37.4,4.7
237,Carballo,24,ES,1599539260,67,43.21,-8.69,60.8,2.24
238,Portland,90,US,1599538573,17,45.52,-122.68,77,27.51
239,Norman Wells,20,CA,1599539031,87,65.28,-126.83,50,0.67
240,Kununurra,64,AU,1599539263,16,-15.77,128.73,96.8,12.75
241,Avera,75,US,1599539265,88,33.19,-82.53,77,4.7
242,Baltasi,99,RU,1599539266,75,56.35,50.21,59.45,6.02
243,Thinadhoo,88,MV,1599539266,76,0.53,72.93,83.08,12.41
244,Pemangkat,50,ID,1599539042,60,1.17,108.97,86.58,2.73
245,Mana,43,GF,1599539267,89,5.66,-53.78,78.12,6.78
246,Savonlinna,40,FI,1599539267,100,61.87,28.88,44.6,3.36
247,Nelson Bay,0,AU,1599539269,36,-32.72,152.15,79,6.93
248,Meulaboh,82,ID,1599539270,78,4.14,96.13,82.42,1.99
249,Qrendi,20,MT,1599539270,100,35.83,14.46,75.99,2.24
250,Porto Seguro,75,BR,1599539272,78,-16.45,-39.06,71.6,4.7
251,Naze,20,JP,1599539272,74,28.37,129.48,87.8,9.17
252,Pevek,34,RU,1599539272,77,69.7,170.31,42.71,1.97
253,Bella Vista,1,US,1599539273,83,36.43,-94.23,77,6.93
254,Samarai,50,PG,1599539274,85,-10.62,150.67,78.46,17.11
255,Grand Baie,27,MU,1599539274,82,-20.02,57.58,75,11.01
256,Jamame,49,SO,1599539276,72,0.07,42.75,76.6,11.34
257,Taltal,27,CL,1599539277,78,-25.4,-70.48,54.12,1.16
258,Maniitsoq,94,GL,1599539278,71,65.42,-52.9,39.94,4.21
259,Kumluca,0,TR,1599539280,46,36.37,30.29,83.19,2.01
260,Dzhebariki-Khaya,0,RU,1599539281,56,62.22,135.8,56.41,4.18
261,Mandurah,75,AU,1599539283,59,-32.55,115.7,64.4,9.17
